SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-10-29,North J,10.6223333,0.0,0.0,0.0
2021-10-29,8th and J,0.0,0.0,0.0,0.0
2021-10-29,South Davis/El Macero,0.0,21.465807,0.0,0.0
2021-10-29,Peregrine School (downstream),0.0,0.0,0.0,0.0
2021-10-29,Peregrine School (upstream),0.0,0.0,0.0,0.0
2021-10-29,Arroyo B,21.4852905,10.7424915,0.0,0.0
2021-10-29,East Central Davis B,33.3017182,44.4029474,6.166666666666667e-05,721000.0
2021-10-29,Rancho Yolo/Research Park,0.0,10.759294,0.0,0.0
2021-10-29,Cantrill Drive,0.0,0.0,0.0,0.0
2021-10-29,Olive Drive,43.3929253,32.5442219,0.0,0.0
2021-11-01,Old East Davis/Wildhorse,58.9908886,0.0,0.0,480000.0
2021-11-01,Far West Davis,0.0,11.5788317,0.0,279000.0
2021-11-01,North Davis A,0.0,11.4089142,0.0,272000.0
2021-11-01,North Davis B,11.2579955,22.5163315,0.0,421000.0
2021-11-01,North Davis C,10.9275104,54.6407795,0.0011233333333333334,356000.0
2021-11-01,North Davis D,79.5644141,22.7310038,0.0008086666666666667,693000.0
2021-11-01,The Cannery,43.3871936,54.2347766,0.0020066666666666666,199000.0
2021-11-01,Far East Davis,23.808384,11.9040083,0.0,155000.0
2021-11-01,North Central Davis,34.1980291,34.1980291,0.0,272000.0
2021-11-01,Central Davis,12.1701299,0.0,0.0,365000.0
2021-11-01,East Central Davis A,145.544043,190.337925,0.00021033333333333331,798000.0
2021-11-01,North J,125.055408,113.684997,0.000541,221000.0
2021-11-01,8th and J,219.266357,241.199703,0.000186,1240000.0
2021-11-01,Rancho Yolo: East 8th Street,211.332684,158.488808,0.00021033333333333331,879000.0
2021-11-01,South Davis/El Macero,85.9164714,61.3669299,0.00014733333333333333,500000.0
2021-11-01,Peregrine School (downstream),22.070825,22.070825,0.0,310000.0
2021-11-01,Peregrine School (upstream),11.6151178,0.0,0.0,258000.0
2021-11-01,Arroyo A,0.0,0.0,0.0,515000.0
2021-11-01,Arroyo B,0.0,0.0,0.0,562000.0
